"","Spec_Clust","ward.D","ward.D2","single","complete","mcquitty","average","median","centroid","Genie_useVpTree_F","cluster_pam"
"1",0.955896190624568,1,0.646608510932254,1,0.647897096442523,0.646618604642387,0.661756029866139,0.702306255084646,0.687058728166769,1,0.646743199307061
"2",0.647841391002253,0.717704947841885,0.678693805436741,1,0.710319187809864,0.67621472455966,0.720582724108704,0.681596818652828,0.658839178773819,1,0.543594784728957
"3",0.90380687298539,0.846954287398913,0.863786009385034,0.706675129066437,0.652801274438483,0.650060854198956,0.658957537924965,0.70684767807495,0.701935155119912,0.906452011845063,0.908484450008508
"4",0.475764198183956,1,1,1,1,1,1,1,1,1,1
"5",0.471492211995939,0.41687528373835,0.422103253943517,0.60957251110415,0.422103253943517,0.422103253943517,0.406516001549482,0.453644254297798,0.413812900552893,0.512824865109491,0.45261858066169
"6",0.339598816116633,0.318953862705061,0.319058701004453,0.692594181779398,0.319058701004453,0.319058701004453,0.315731618149155,0.318081841379754,0.305243033096729,0.540695873961042,0.320784697864648
"7",0.744878284180253,1,0.975270949604024,0.494328884180364,0.989950774018541,0.994975130710111,1,0.786488126723335,0.975270949604024,1,1
"8",0.843473983789664,1,1,0.705776938492598,0.992500188613688,0.997493750098195,0.997493750098195,0.82678593166162,0.997493750098195,0.987532270446974,1
"9",0.530155597906887,1,0.89447984087336,1,0.917220815184438,1,1,1,1,1,0.878167197693825
"10",0.512396694214876,0.687843337804699,0.687843337804699,0.701738598742423,0.687843337804699,0.687843337804699,0.687843337804699,0.687843337804699,0.687843337804699,0.667413227409265,0.793490460157127
"11",0.396795351001139,0.448346175846269,0.4487396279872,0.44658056118671,0.4487396279872,0.4487396279872,0.415674762124431,0.410569003368797,0.441775012634075,0.441730142248131,0.443044145962789
"12",0.597290769914079,0.72338579840063,0.72338579840063,0.818756894876394,0.72338579840063,0.72338579840063,0.707301467015387,0.651056711545935,0.72338579840063,0.643983561120138,0.645403383192099
"13",0.629711853898403,0.638388319265218,0.623529795859088,0.706123305804122,0.623529795859088,0.623529795859088,0.582405146984462,0.62808611774434,0.635190815840839,0.602907908951056,0.617137218990773
"14",0.55351854849096,0.521561112732604,0.508471337895007,0.706046392615653,0.508471337895007,0.508471337895007,0.50581421792398,0.523368794262688,0.558480354052957,0.499670980490102,0.498997995991984
"15",0.409330325821313,0.431949814091713,0.431949814091713,0.65627194261269,0.431949814091713,0.431949814091713,0.507134746008572,0.507134746008572,0.461670616328012,0.499064509578641,0.44938742247594
