"","Spec_Clust","ward.D","ward.D2","single","complete","mcquitty","average","median","centroid","Genie_useVpTree_F","cluster_pam","Names"
"1",0.911807150724198,1,0.0996644564052046,1,0.130183711215161,0.0980883367866967,0.21490217045698,0.000156842533938732,0.00361406662494166,1,0.0919095303500526,"fcps/atom"
"2",0.0709988444398667,0.393393267478326,0.279838802511837,1,0.373536126876279,0.271420930175581,0.400972279072851,0.288386571888624,0.203249177934997,1,0.0862874060862935,"fcps/chainlink"
"3",0.807098530282837,0.689698078712982,0.726695154507073,2.33001368321553e-10,0.178961609752026,0.0511492294747573,0.0319631663664718,-2.38476857851471e-07,0.000214735496851817,0.81237383483829,0.81678287335834,"fcps/engytime"
"4",0.287447092005401,1,1,1,1,1,1,1,1,1,1,"fcps/hepta"
"5",0.182142350379385,0.0785494520700631,0.0798141343138745,0.00400740192838539,0.0798141343138745,0.0798141343138745,0.0708271162943141,0.146911161975213,0.0880570785208349,0.0539467579340134,0.155348211236489,"fcps/lsun"
"6",0.0554735493202275,0.032077302168598,0.037530515549726,-0.000111255296218728,0.037530515549726,0.037530515549726,0.0268308902554972,0.027127957963349,0.0210971090839615,0.0178968304173453,0.0428509551621626,"fcps/target"
"7",0.627994532764062,1,0.967103218645949,-5.03797372696757e-05,0.986634074937292,0.993316810199338,1,0.672408394039649,0.967103218645949,1,1,"fcps/tetra"
"8",0.684011207992933,1,1,-6.25786143829418e-06,0.985018844808504,0.994993734414455,0.994993734414455,0.647206651315414,0.994993734414455,0.975094145907666,1,"fcps/twodiamonds"
"9",-0.000836632513016362,1,0.787777570118579,1,0.833955295574619,1,1,1,1,1,0.756574223738646,"fcps/wingnut"
"10",0.0296694214876032,0.366636403513246,0.366636403513246,-0.000100512614333023,0.366636403513246,0.366636403513246,0.366636403513246,0.366636403513246,0.366636403513246,0.319193860314818,0.589046015712682,"graves/dense"
"11",0.241564474424205,0.308239697737554,0.304219403775318,-0.000241918583289553,0.304219403775318,0.304219403775318,0.267171077462655,0.259075161891588,0.296592059497129,-0.000671472033581451,0.303613415664516,"graves/fuzzyx"
